s;F;;s;F;;s;F;;s;F
13,07909435;45,81038666;;13,05598673;48,723423;;13,29918396;42,24109268;;13,05470041;47,57417297
13,06810802;46,20296478;;13,04596933;49,10843277;;13,28819001;42,58874893;;13,04467538;47,9420929
13,05712169;46,60555267;;13,0359672;49,49759293;;13,27817261;42,91614151;;13,03467325;48,31001282
13,04709667;46,97835541;;13,0249885;49,90994644;;13,26815522;43,24475479;;13,02369455;48,7191925
13,03709453;47,34017181;;13,01399764;50,33538818;;13,25814545;43,57898331;;13,01270822;49,13545227
13,02611583;47,74544525;;13,00300368;50,76092529;;13,24813568;43,91077042;;13,00170663;49,55708313
13,0151295;48,14705658;;12,99300155;51,14910889;;13,23813355;44,25525284;;12,99071267;49,98310852
13,00413555;48,54451752;;12,98299941;51,54022217;;13,22716248;44,62390518;;12,98070291;50,37348938
12,99413341;48,9109726;;12,97298964;51,93035889;;13,21617615;44,9906044;;12,97070077;50,76704407
12,98413127;49,28011322;;12,96200332;52,37078857;;13,20518219;45,3590126;;12,95972207;51,19526672
12,97412151;49,65657806;;12,95103225;52,80023193;;13,19420659;45,73242188;;12,94873575;51,62934875
12,96312755;50,07357025;;12,94101485;53,19622803;;13,18320501;46,10644531;;12,93871835;52,03511047
12,95215648;50,50106049;;12,93101272;53,60418701;;13,17320287;46,45019531;;12,92772439;52,48042297
12,94214671;50,89705658;;12,92001113;54,0602417;;13,16320073;46,80126953;;12,91772226;52,88569641
12,93214458;51,28890228;;12,91000899;54,47650146;;13,15319097;47,15478516;;12,90771249;53,29096985
12,92214244;51,68587494;;12,89902266;54,93304443;;13,1431812;47,5065918;;12,89672616;53,7467804
12,91214031;52,08040619;;12,88802871;55,39788818;;13,13317907;47,85620117;;12,88573221;54,19624329
12,90114635;52,51131439;;12,87801131;55,8180542;;13,12317693;48,21508789;;12,87572244;54,61103821
12,89015239;52,94857025;;12,86800918;56,23455811;;13,11317479;48,57373047;;12,8657203;55,02949524
12,88014263;53,34896088;;12,85800704;56,65374756;;13,1031574;48,93286133;;12,85571817;55,45698547
12,87014049;53,75276947;;12,8480049;57,07684326;;13,09217107;49,33056641;;12,84571603;55,88447571
12,86013835;54,16243744;;12,83799514;57,50506592;;13,08118474;49,73779297;;12,83569864;56,32197571
12,85012859;54,57649994;;12,82700118;57,97283936;;13,07019079;50,14208984;;12,82471231;56,7973175
12,84011882;54,99227142;;12,81601485;58,45599365;;13,05920446;50,54711914;;12,81371835;57,2858429
12,82912486;55,44954681;;12,80502089;58,9418335;;13,04919469;50,92480469;;12,80272439;57,77241516
12,81813854;55,90340424;;12,79403457;59,43109131;;13,0391773;51,30249023;;12,79174569;58,26094055
12,8081364;56,31795502;;12,78403243;59,87957764;;13,02819097;51,70996094;;12,78173593;58,70991516
12,7971577;56,78231049;;12,77402266;60,32440186;;13,01719701;52,12841797;;12,77172616;59,15278625
12,78617137;57,24398041;;12,76402053;60,76507568;;13,00719487;52,52294922;;12,76172403;59,5983429
